Time,vehicle_local_positionax,vehicle_local_positionay,vehicle_local_positionaz,timestamp_ms,vehicle_local_positiontimestamp_sample,vehicle_local_positionvx,vehicle_local_positionvy,vehicle_local_positionvz,vehicle_local_positionx,vehicle_local_positiony,vehicle_local_positionz,vehicle_local_position_setpointacceleration00,vehicle_local_position_setpointacceleration01,vehicle_local_position_setpointacceleration02,vehicle_local_position_setpointvx,vehicle_local_position_setpointvy,vehicle_local_position_setpointvz,vehicle_local_position_setpointx,vehicle_local_position_setpointy,vehicle_local_position_setpointz
1.1 sec,0.00420792307692308,-0.001312,-0.0112352307692308,311128,311128000,0.00135161538461538,0.0109354615384615,0.012636,14.0478780769231,0.643548692307692,-5.10135392307692,-0.0153706153846154,0.0652940769230769,-0.137608153846154,-0.0108050769230769,0.024726,0.0108489230769231,14.036484,0.669575,-5.090495
1.2 sec,0.00185283333333333,0.0139031666666667,-0.00686420833333333,311228,311228000,0.000173291666666667,0.0110765833333333,0.0125495,14.050238125,0.64121675,-5.10124216666667,-0.017210625,0.071043125,-0.138058625,-0.0130472083333333,0.026942,0.0107371666666667,14.036484,0.669575,-5.090495
1.3 sec,0.000933923076923077,0.00054976923076923,0.0135663846153846,311328,311328000,-8.47692307692308e-05,0.0109250769230769,0.0120558461538462,14.0529776923077,0.638248,-5.10147723076923,-0.0232653846153846,0.0782726923076923,-0.135412615384615,-0.0156496923076923,0.029762,0.0109722307692308,14.036484,0.669575,-5.090495
1.4 sec,-0.00118929166666667,0.0224755416666667,0.001479875,311428,311428000,-0.00049175,0.0117755833333333,0.0115420416666667,14.05514275,0.636147166666667,-5.10157704166667,-0.0273655416666667,0.0777870833333333,-0.133119125,-0.0177065416666667,0.0317579583333333,0.0110720416666667,14.036484,0.669575,-5.090495
1.5 sec,-0.0320277692307692,0.0332000769230769,0.002403,311528,311528000,-0.00225723076923077,0.0142379230769231,0.0113167692307692,14.0566351538462,0.635174538461538,-5.10120984615385,-0.0231654615384615,0.0722419230769231,-0.133801384615385,-0.0191245384615385,0.0326824615384615,0.0107048461538462,14.036484,0.669575,-5.090495
1.6 sec,-0.0301029583333333,0.0475685416666667,0.0163954583333333,311628,311628000,-0.00299170833333333,0.0167767083333333,0.0105623333333333,14.0591545416667,0.635189916666667,-5.101232375,-0.0301087916666667,0.0685974583333333,-0.130724583333333,-0.0215182916666667,0.0326675833333333,0.0107281666666667,14.036484,0.669575,-5.090495
1.7 sec,0.00469523076923077,0.0343753846153846,0.0129716923076923,311728,311728000,-0.00350707692307692,0.0192359230769231,0.0110055384615385,14.0620448461538,0.636058153846154,-5.10144184615385,-0.0350313076923077,0.0637233076923077,-0.13162,-0.0242636923076923,0.0318426153846154,0.0109378461538462,14.036484,0.669575,-5.090495
1.8 sec,-0.047718375,0.0177904583333333,0.01298225,311828,311828000,-0.00528808333333333,0.0219445,0.0113699583333333,14.064199625,0.63752375,-5.101477375,-0.0324337083333333,0.0571315833333333,-0.133004083333333,-0.0263107916666667,0.030451,0.0109725833333333,14.036484,0.669575,-5.090495
1.9 sec,-0.00517207692307692,-0.00216984615384615,0.00218253846153846,311928,311928000,-0.00720484615384615,0.0235143076923077,0.0111406153846154,14.065394,0.639462692307692,-5.10117146153846,-0.0332713846153846,0.0532946923076923,-0.133358538461538,-0.0274452307692308,0.0286090769230769,0.0106672307692308,14.036484,0.669575,-5.090495
2 sec,-0.0388015416666667,-0.009524,-0.002603,312028,312028000,-0.00825325,0.0227255,0.0103296666666667,14.067708,0.639864875,-5.10300158333333,-0.0375065,0.05950175,-0.122717625,-0.0296432916666667,0.028226375,0.0124967916666667,14.036484,0.669575,-5.090495
2.1 sec,-0.0354195384615385,0.0157190769230769,0.0174058461538462,312128,312128000,-0.00988430769230769,0.0218826153846154,0.0107203076923077,14.0703283846154,0.639443,-5.10551623076923,-0.0388263076923077,0.0613010769230769,-0.113560076923077,-0.0321325384615385,0.028627,0.0150112307692308,14.036484,0.669575,-5.090495
2.2 sec,-0.0421177916666667,0.00905654166666667,0.00356008333333333,312228,312228000,-0.0115404166666667,0.0223493333333333,0.0126366666666667,14.0720688333333,0.639550208333333,-5.10702545833333,-0.168781333333333,-0.0723846666666667,-0.030799125,-0.0363039166666667,0.0260081666666667,0.0185241666666667,14.03645075,0.669542541666667,-5.0904665
2.3 sec,-0.116018384615385,-0.0648762307692308,0.0652933846153846,312328,312328000,-0.0158269230769231,0.0201606153846154,0.0144588461538462,14.072743,0.640290769230769,-5.10782246153846,-0.298320692307692,0.0533377692307692,0.0210659230769231,-0.0575775384615385,0.0142936153846154,0.0278746153846154,14.0352758461538,0.668611692307692,-5.08988669230769
2.4 sec,-0.189732458333333,-0.0741039583333333,0.122996333333333,312428,312428000,-0.0270244583333333,0.0135735,0.0217365,14.073054125,0.640767333333333,-5.109498125,-0.337225041666667,0.444137625,0.0445307916666667,-0.0853591666666667,0.0286309583333333,0.0402690416666667,14.0319984166667,0.667832291666667,-5.08848
2.5 sec,-0.261820230769231,0.144024230769231,0.190186076923077,312528,312528000,-0.049148,0.0161006153846154,0.0365578461538462,14.0716367692308,0.641095153846154,-5.11046038461538,-0.257967846153846,0.907641615384616,0.039181,-0.113228076923077,0.0854473846153846,0.0528760769230769,14.0262418461538,0.670556153846154,-5.08613269230769
